epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,10825.4,0.89504,0.52326,0.91302,0.91172,0.7291,0.81753,0.59217,0.9543,0.53094,0.95728,0.000233657,0.000233657,0.000233657
165,10891,0.89577,0.52304,0.91557,0.91181,0.7289,0.81803,0.59252,0.95459,0.53122,0.95738,0.000216686,0.000216686,0.000216686
166,10981.4,0.89643,0.51655,0.90371,0.9144,0.72827,0.81767,0.59245,0.95554,0.53155,0.95803,0.000199714,0.000199714,0.000199714
167,11045.6,0.87574,0.50394,0.89926,0.90958,0.73051,0.81702,0.59278,0.9562,0.53177,0.95833,0.000182743,0.000182743,0.000182743
168,11110.2,0.8732,0.50349,0.89476,0.91129,0.72974,0.81693,0.59175,0.95585,0.53132,0.95825,0.000165771,0.000165771,0.000165771
169,11174.7,0.86942,0.49848,0.8931,0.91478,0.72671,0.81717,0.59184,0.95633,0.53211,0.95841,0.0001488,0.0001488,0.0001488
170,11238.9,0.86693,0.49794,0.89487,0.91272,0.72754,0.81627,0.59152,0.95619,0.53198,0.95868,0.000131829,0.000131829,0.000131829
171,11307.9,0.86873,0.495,0.89478,0.91365,0.72818,0.81619,0.59193,0.95619,0.53219,0.95877,0.000114857,0.000114857,0.000114857
172,11370.8,0.86958,0.4971,0.89497,0.91385,0.72927,0.81777,0.59194,0.95647,0.53159,0.95905,9.78857e-05,9.78857e-05,9.78857e-05
173,11434,0.86547,0.49546,0.89426,0.91195,0.7298,0.81803,0.59235,0.95645,0.53202,0.95886,8.09143e-05,8.09143e-05,8.09143e-05
174,11496.9,0.86728,0.49787,0.89581,0.91325,0.73011,0.81785,0.59226,0.95661,0.53195,0.95874,6.39429e-05,6.39429e-05,6.39429e-05
175,11561.3,0.86197,0.49221,0.8932,0.9123,0.73058,0.81784,0.59242,0.95656,0.53195,0.95896,4.69714e-05,4.69714e-05,4.69714e-05
