epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,5930.37,0.51759,0.28342,0.92782,0.98346,0.97038,0.9867,0.79725,0.61721,0.28754,0.84339,0.00108223,0.00108223,0.00108223
115,5982.08,0.51063,0.2826,0.92528,0.98007,0.97591,0.98638,0.79959,0.62294,0.28736,0.84735,0.00106526,0.00106526,0.00106526
116,6034.16,0.50318,0.28173,0.92293,0.9804,0.97709,0.98359,0.79596,0.62446,0.2869,0.84865,0.00104829,0.00104829,0.00104829
117,6085.93,0.51189,0.28246,0.92575,0.9725,0.97686,0.98561,0.79618,0.61871,0.2845,0.84078,0.00103131,0.00103131,0.00103131
118,6137.77,0.5068,0.27869,0.92339,0.98018,0.9695,0.98616,0.79315,0.62013,0.28812,0.84677,0.00101434,0.00101434,0.00101434
119,6189.83,0.50424,0.27758,0.92313,0.97582,0.97772,0.98607,0.79485,0.61863,0.28975,0.84608,0.000997371,0.000997371,0.000997371
120,6241.75,0.50337,0.27386,0.92323,0.97563,0.97785,0.98683,0.79745,0.61367,0.28368,0.84451,0.0009804,0.0009804,0.0009804
121,6293.97,0.4954,0.2766,0.91506,0.97313,0.98085,0.98493,0.79281,0.61249,0.28549,0.84369,0.000963429,0.000963429,0.000963429
122,6345.99,0.51036,0.28089,0.92221,0.97423,0.97478,0.98422,0.79321,0.61433,0.28485,0.84348,0.000946457,0.000946457,0.000946457
123,6398.54,0.505,0.27617,0.91996,0.97948,0.97434,0.98545,0.79857,0.61427,0.28767,0.84233,0.000929486,0.000929486,0.000929486
124,6450.21,0.49576,0.27562,0.91592,0.98023,0.96696,0.98543,0.79638,0.61521,0.28691,0.84568,0.000912514,0.000912514,0.000912514
125,6502.05,0.49958,0.27864,0.92039,0.96742,0.97997,0.98567,0.80231,0.61176,0.2899,0.84219,0.000895543,0.000895543,0.000895543
126,6554.12,0.49341,0.27104,0.91512,0.97983,0.97501,0.98667,0.79866,0.61232,0.28676,0.84028,0.000878571,0.000878571,0.000878571
127,6605.7,0.50001,0.2778,0.92024,0.98044,0.97236,0.98669,0.79887,0.6102,0.28506,0.84043,0.0008616,0.0008616,0.0008616
128,6657.97,0.50455,0.27327,0.9203,0.97703,0.97898,0.98727,0.80196,0.60821,0.28372,0.83789,0.000844629,0.000844629,0.000844629
129,6709.87,0.48946,0.27236,0.92261,0.98279,0.97373,0.98713,0.80243,0.60885,0.2842,0.83696,0.000827657,0.000827657,0.000827657
130,6761.93,0.49394,0.26498,0.91766,0.98446,0.96839,0.9868,0.8031,0.60617,0.28249,0.83214,0.000810686,0.000810686,0.000810686
131,6813.73,0.49571,0.27202,0.91434,0.98329,0.96797,0.98615,0.80084,0.60426,0.28176,0.83288,0.000793714,0.000793714,0.000793714
132,6865.21,0.49087,0.26459,0.91475,0.97054,0.97474,0.98529,0.7978,0.6074,0.28409,0.83668,0.000776743,0.000776743,0.000776743
133,6916.96,0.49762,0.26882,0.91522,0.97462,0.97389,0.98587,0.79821,0.60754,0.28286,0.83761,0.000759771,0.000759771,0.000759771
134,6968.81,0.49042,0.26795,0.91482,0.97555,0.97691,0.9857,0.79805,0.60572,0.28325,0.83594,0.0007428,0.0007428,0.0007428
135,7020.73,0.49015,0.26587,0.91446,0.97633,0.97704,0.98576,0.80079,0.60456,0.2841,0.83334,0.000725829,0.000725829,0.000725829
136,7072.66,0.48234,0.26219,0.91271,0.97836,0.97623,0.98597,0.80369,0.60359,0.28228,0.83477,0.000708857,0.000708857,0.000708857
137,7124.66,0.48211,0.26123,0.90852,0.97819,0.97518,0.98601,0.80201,0.6037,0.28191,0.83353,0.000691886,0.000691886,0.000691886
138,7176.53,0.48061,0.25905,0.91685,0.97693,0.97336,0.98636,0.80409,0.60623,0.27935,0.83444,0.000674914,0.000674914,0.000674914
139,7228.22,0.48827,0.26502,0.91274,0.98244,0.9714,0.9869,0.80483,0.60884,0.28125,0.83568,0.000657943,0.000657943,0.000657943
140,7280.28,0.47968,0.26288,0.91051,0.98431,0.96967,0.98619,0.80125,0.60937,0.28178,0.83568,0.000640971,0.000640971,0.000640971
141,7332.13,0.48594,0.26461,0.91186,0.98886,0.97049,0.98653,0.80462,0.60595,0.28239,0.8315,0.000624,0.000624,0.000624
142,7384.37,0.48792,0.26006,0.91006,0.97984,0.9747,0.98669,0.80512,0.60469,0.27996,0.83216,0.000607029,0.000607029,0.000607029
143,7436.34,0.47801,0.26021,0.91057,0.98243,0.96655,0.98652,0.80651,0.60387,0.27902,0.83233,0.000590057,0.000590057,0.000590057
144,7487.96,0.47478,0.25663,0.90974,0.98465,0.97187,0.98665,0.80344,0.60519,0.27919,0.83173,0.000573086,0.000573086,0.000573086
145,7539.8,0.48058,0.25758,0.91167,0.97865,0.97321,0.98649,0.80643,0.60382,0.28024,0.83134,0.000556114,0.000556114,0.000556114
146,7591.28,0.47684,0.25829,0.91293,0.97678,0.97371,0.98603,0.80649,0.60352,0.2811,0.8317,0.000539143,0.000539143,0.000539143
147,7643.14,0.47048,0.25253,0.90877,0.97909,0.97069,0.9854,0.80683,0.60311,0.28078,0.83183,0.000522171,0.000522171,0.000522171
148,7695.12,0.47704,0.25985,0.91162,0.98371,0.96769,0.98588,0.80769,0.60363,0.27894,0.83291,0.0005052,0.0005052,0.0005052
149,7747.05,0.4765,0.25359,0.9095,0.98402,0.96693,0.98527,0.80444,0.60353,0.27919,0.83284,0.000488229,0.000488229,0.000488229
150,7799.02,0.46597,0.24923,0.90918,0.98225,0.97099,0.9858,0.80674,0.60161,0.27703,0.83179,0.000471257,0.000471257,0.000471257
151,7850.63,0.47347,0.25247,0.9071,0.97895,0.9756,0.98619,0.80789,0.60188,0.27538,0.83297,0.000454286,0.000454286,0.000454286
152,7902.55,0.47451,0.25216,0.91018,0.9812,0.97309,0.98599,0.80796,0.60045,0.27629,0.83259,0.000437314,0.000437314,0.000437314
153,7954.1,0.46793,0.25131,0.90688,0.98242,0.97331,0.98605,0.80681,0.60185,0.27779,0.83404,0.000420343,0.000420343,0.000420343
154,8005.9,0.47397,0.25414,0.90666,0.98285,0.97331,0.98579,0.80765,0.60181,0.27805,0.83333,0.000403371,0.000403371,0.000403371
155,8057.76,0.47272,0.25069,0.91227,0.98237,0.97241,0.98556,0.8071,0.60268,0.27714,0.8335,0.0003864,0.0003864,0.0003864
156,8109.59,0.47346,0.25034,0.90596,0.98203,0.97145,0.98589,0.80717,0.60251,0.27536,0.8331,0.000369429,0.000369429,0.000369429
157,8161.45,0.46613,0.24929,0.90527,0.98226,0.97135,0.98594,0.80729,0.602,0.27635,0.83261,0.000352457,0.000352457,0.000352457
158,8212.9,0.4635,0.24622,0.90696,0.98384,0.97325,0.98601,0.80769,0.60264,0.27764,0.83211,0.000335486,0.000335486,0.000335486
159,8264.81,0.46639,0.24524,0.91024,0.97637,0.97504,0.98536,0.80738,0.60138,0.27768,0.83084,0.000318514,0.000318514,0.000318514
160,8316.73,0.46001,0.24736,0.90483,0.97851,0.97538,0.98539,0.80712,0.60139,0.27827,0.83083,0.000301543,0.000301543,0.000301543
161,8368.92,0.47426,0.24815,0.90922,0.97724,0.97492,0.98574,0.80782,0.60202,0.27693,0.83201,0.000284571,0.000284571,0.000284571
162,8420.85,0.46517,0.24622,0.91014,0.97824,0.97432,0.98567,0.80787,0.60328,0.2763,0.83235,0.0002676,0.0002676,0.0002676
163,8472.74,0.46289,0.24941,0.91059,0.98487,0.97071,0.98577,0.80803,0.60412,0.27653,0.8328,0.000250629,0.000250629,0.000250629
164,8524.99,0.46709,0.24723,0.90779,0.98393,0.96938,0.98448,0.80796,0.60502,0.27671,0.83262,0.000233657,0.000233657,0.000233657
165,8576.69,0.46797,0.24971,0.90832,0.98448,0.97183,0.98557,0.80872,0.60512,0.27644,0.83216,0.000216686,0.000216686,0.000216686
166,8651.77,0.48393,0.22874,0.87018,0.98284,0.97223,0.98415,0.80755,0.60514,0.27853,0.83264,0.000199714,0.000199714,0.000199714
167,8703.72,0.46887,0.22229,0.86429,0.98305,0.9718,0.98505,0.8073,0.60527,0.27851,0.8329,0.000182743,0.000182743,0.000182743
168,8755.49,0.46836,0.22125,0.85638,0.98365,0.97138,0.98477,0.808,0.60611,0.27914,0.83321,0.000165771,0.000165771,0.000165771
169,8807.37,0.4685,0.21822,0.86698,0.98112,0.97188,0.98444,0.80948,0.60573,0.27923,0.83293,0.0001488,0.0001488,0.0001488
170,8858.78,0.46383,0.21807,0.85954,0.98096,0.97273,0.98436,0.80796,0.60466,0.27877,0.83253,0.000131829,0.000131829,0.000131829
171,8909.89,0.46536,0.21556,0.85835,0.98089,0.9718,0.98399,0.80723,0.604,0.27951,0.8321,0.000114857,0.000114857,0.000114857
172,8961.16,0.46037,0.21437,0.85371,0.9809,0.97195,0.98386,0.80666,0.60382,0.27973,0.83202,9.78857e-05,9.78857e-05,9.78857e-05
173,9012.57,0.46176,0.21598,0.86243,0.98151,0.9712,0.98376,0.80751,0.60479,0.28018,0.8336,8.09143e-05,8.09143e-05,8.09143e-05
174,9063.95,0.45993,0.21379,0.85446,0.98263,0.97117,0.98355,0.80591,0.60468,0.28035,0.83341,6.39429e-05,6.39429e-05,6.39429e-05
175,9115.48,0.46475,0.21478,0.86147,0.98263,0.97062,0.98338,0.80552,0.6042,0.28102,0.8334,4.69714e-05,4.69714e-05,4.69714e-05
